name,team,position,fifa_code,group_name,api_football_id,balldontlie_id
KUCHTA Jan,Czechia,FWD,CZE,,,
CERV Lukas,Czechia,MID,CZE,,,
CHYTIL Mojmir,Czechia,FWD,CZE,,,
JURASEK David,Czechia,DEF,CZE,,,
SULC Pavel,Czechia,FWD,CZE,,,
STANEK Jindrich,Czechia,GK,CZE,,,
PROVOD Lukas,Czechia,MID,CZE,,,
SADILEK Michal,Czechia,MID,CZE,,,
CHORY Tomas,Czechia,FWD,CZE,,,
ZELENY Jaroslav,Czechia,DEF,CZE,,,
DOUDERA David,Czechia,DEF,CZE,,,
SOUCEK Tomas,Czechia,MID,CZE,,,
HORNICEK Lukas,Czechia,GK,CZE,,,
SOJKA Alexandr,Czechia,MID,CZE,,,
SOCHUREK Hugo,Czechia,MID,CZE,,,
VISINSKY Denis,Czechia,FWD,CZE,,,
GALINDEZ Hernan,Ecuador,GK,ECU,,,
TORRES Felix,Ecuador,DEF,ECU,,,
HINCAPIE Piero,Ecuador,DEF,ECU,,,
ORDONEZ Joel,Ecuador,DEF,ECU,,,
ALCIVAR Jordy,Ecuador,MID,ECU,,,
PACHO Willian,Ecuador,DEF,ECU,,,
ESTUPINAN Pervis,Ecuador,DEF,ECU,,,
VALENCIA Anthony,Ecuador,MID,ECU,,,
YEBOAH John,Ecuador,FWD,ECU,,,
PAEZ Kendry,Ecuador,MID,ECU,,,
RODRIGUEZ Kevin,Ecuador,FWD,ECU,,,
RAMIREZ Moises,Ecuador,GK,ECU,,,
VALENCIA Enner,Ecuador,FWD,ECU,,,
MINDA Alan,Ecuador,MID,ECU,,,
VITE Pedro,Ecuador,MID,ECU,,,
CAICEDO Jordy,Ecuador,FWD,ECU,,,
PRECIADO Angelo,Ecuador,DEF,ECU,,,
CASTILLO Denil,Ecuador,MID,ECU,,,
PLATA Gonzalo,Ecuador,FWD,ECU,,,
ANGULO Nilson,Ecuador,FWD,ECU,,,
FRANCO Alan,Ecuador,MID,ECU,,,
VALLE Gonzalo,Ecuador,GK,ECU,,,
CAICEDO Moises,Ecuador,MID,ECU,,,
AREVALO Jeremy,Ecuador,FWD,ECU,,,
POROZO Jackson,Ecuador,DEF,ECU,,,
MEDINA Yaimar,Ecuador,DEF,ECU,,,
MOHAMED ELSHENAWY,Egypt,GK,EGY,,,
YASSER IBRAHIM,Egypt,DEF,EGY,,,
MOHAMED HANY,Egypt,DEF,EGY,,,
HOSSAM ABDELMAGUID,Egypt,DEF,EGY,,,
RAMY RABIA,Egypt,DEF,EGY,,,
MOHAMED ABDELMONEIM,Egypt,DEF,EGY,,,
TREZEGUET,Egypt,FWD,EGY,,,
EMAM ASHOUR,Egypt,MID,EGY,,,
HAMZA ABDELKARIM,Egypt,FWD,EGY,,,
MOHAMED SALAH,Egypt,FWD,EGY,,,
MOSTAFA ZICO,Egypt,MID,EGY,,,
HAISSEM HASSAN,Egypt,FWD,EGY,,,
AHMED FATOUH,Egypt,DEF,EGY,,,
HAMDY FATHY,Egypt,MID,EGY,,,
KARIM HAFEZ,Egypt,DEF,EGY,,,
MAHDY SOLIMAN,Egypt,GK,EGY,,,
MOHANAD LASHIN,Egypt,MID,EGY,,,
NABIL DONGA,Egypt,MID,EGY,,,
MARAWAN ATTIA,Egypt,MID,EGY,,,
IBRAHIM ADEL,Egypt,FWD,EGY,,,
MAHMOUD SABER,Egypt,MID,EGY,,,
OMAR MARMOUSH,Egypt,FWD,EGY,,,
MOSTAFA SHOUBIR,Egypt,GK,EGY,,,
TAREK ALAA,Egypt,DEF,EGY,,,
ZIZO,Egypt,FWD,EGY,,,
MOHAMED ALAA,Egypt,GK,EGY,,,
PICKFORD Jordan,England,GK,ENG,,,
KONSA Ezri,England,DEF,ENG,,,
OREILLY Nico,England,DEF,ENG,,,
RICE Declan,England,MID,ENG,,,
STONES John,England,DEF,ENG,,,
GUEHI Marc,England,DEF,ENG,,,
SAKA Bukayo,England,FWD,ENG,,,
ANDERSON Elliot,England,MID,ENG,,,
KANE Harry,England,FWD,ENG,,,
BELLINGHAM Jude,England,MID,ENG,,,
RASHFORD Marcus,England,FWD,ENG,,,
LIVRAMENTO Tino,England,DEF,ENG,,,
HENDERSON Dean,England,GK,ENG,,,
HENDERSON Jordan,England,MID,ENG,,,
BURN Dan,England,DEF,ENG,,,
MAINOO Kobbie,England,MID,ENG,,,
ROGERS Morgan,England,MID,ENG,,,
GORDON Anthony,England,FWD,ENG,,,
WATKINS Ollie,England,FWD,ENG,,,
MADUEKE Noni,England,FWD,ENG,,,
EZE Eberechi,England,MID,ENG,,,
TONEY Ivan,England,FWD,ENG,,,
TRAFFORD James,England,GK,ENG,,,
JAMES Reece,England,DEF,ENG,,,
SPENCE Djed,England,DEF,ENG,,,
QUANSAH Jarell,England,DEF,ENG,,,
SAMBA Brice,France,GK,FRA,,,
GUSTO Malo,France,DEF,FRA,,,
DIGNE Lucas,France,DEF,FRA,,,
UPAMECANO Dayot,France,DEF,FRA,,,
KOUNDE Jules,France,DEF,FRA,,,
KONE Manu,France,MID,FRA,,,
DEMBELE Ousmane,France,FWD,FRA,,,
TCHOUAMENI Aurelien,France,MID,FRA,,,
THURAM Marcus,France,FWD,FRA,,,
MBAPPE Kylian,France,FWD,FRA,,,
OLISE Michael,France,FWD,FRA,,,
BARCOLA Bradley,France,FWD,FRA,,,
KANTE Ngolo,France,MID,FRA,,,
RABIOT Adrien,France,MID,FRA,,,
KONATE Ibrahima,France,DEF,FRA,,,
MAIGNAN Mike,France,GK,FRA,,,
SALIBA William,France,DEF,FRA,,,
ZAIRE-EMERY Warren,France,MID,FRA,,,
HERNANDEZ Theo,France,DEF,FRA,,,
